User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
H€rr Rø∂rígu€z,@JerocoO,2022-03-17T21:19:34.000Z,"H€rr Rø∂rígu€z
@JerocoO
·
12mReplying to 
@EmmetReed
 @PonchoGutz
 and 
@AlvarezMaynez
Se vale sobarse 
@PonchoGutz
 GIF
1",,1,
موجب اربعيني تبوك حالياً,@4tut8sXBxGe7ROE,2022-03-17T21:19:17.000Z,"موجب اربعيني تبوك حالياً
@4tut8sXBxGe7ROE
·
12mReplying to 
@special23riyad
تعال خاص",,,
EileenTexasBlue,@EileenForBlue,2022-03-17T21:17:43.000Z,"EileenTexasBlue
@EileenForBlue
·
14mReplying to 
@EileenForBlue
 @CongressMarsha
 and 2 others
We have to do something about this corrupt SCOTUS. We have to expand the court and codify Roe too. Women can't wait 
@VP
 @TeamPelosi
 @ACLU
 Our rights as citizens of this country cannot just be removed!! The GOP are killing women. Vote blue for our very lives.",,,
Mr. blue,@Yvi_Mik,2022-03-17T21:17:42.000Z,"Mr. blue
@Yvi_Mik
·
14mReplying to 
@mija_roe
Zuallererst die Kinder darin stärker, sich die Nieschen zu suchen, die gehen. Es immer wieder zu probieren. Ja, ich habe Kollegen, die das nicht wollen und Stress machen. Aber es gibt Pausen und Zeit, wo man nicht gesehen wird.
1",,,1
mija,@mija_roe,2022-03-17T21:17:39.000Z,"mija
@mija_roe
·
14mReplying to 
@DennisB94470745
 and 
@LViehler
Ich persönlich hänge überhaupt nicht an diesem Land. Als Single würde ich sofort gehen. Aber mit Jobs und Schule finden für Alle wird es halt schwierig, dazu Wohnraum und dann noch die Sprache.",,,
ROE STAN,@cspades,2022-03-17T21:17:34.000Z,"ROE STAN
@cspades
·
14mIs there a correct way to load the dishwasher?
1",1,,
Jim Roe,@JimRoe_Toronto,2022-03-17T21:17:33.000Z,"Jim Roe
@JimRoe_Toronto
·
14m.gif description. Two perfectly poured pints of Guinness, with the Irish word for “health”, being enjoyed by two people who would not drink green beer if a gun was held to their head.",,,
DrOO7,@DrCNMcKenzie,2022-03-17T21:17:10.000Z,"DrOO7
@DrCNMcKenzie
·
15mReplying to 
@SenSchumer
Yes,it does.
Codify Roe",,,
roe ☻,@binsungbubs,2022-03-17T21:17:06.000Z,"roe ☻
@binsungbubs
·
15mwhat a terrible insult to my boys",,,
Maureen Roe,@MaureenBush,2022-03-17T21:17:03.000Z,"Maureen Roe
@MaureenBush
·
15mIowa getting screwed on missed fouls late.",,,
Mαrcο Rοε,@marco_roe,2022-03-17T21:16:50.000Z,"Mαrcο Rοε
@marco_roe
·
15mVaya locura  #HogwartsLegacy",,,
Simon Roe,@nonleaguesnappa,2022-03-17T21:16:50.000Z,"Simon Roe
@nonleaguesnappa
·
15mReplying to 
@Banstead_Rovers
Guys let me know when it gets re scheduled for.",,,
ru ⭑ֺ ˚,@roe4k,2022-03-17T21:16:40.000Z,"ru ⭑ֺ ˚
@roe4k
·
15mim gonna eatch the lore vod!!! byebye",,,
roe ☻,@binsungbubs,2022-03-17T21:16:20.000Z,"roe ☻
@binsungbubs
·
15mi just saw the worst tweet ever oh my god never say that again
GIF
1",1,,
Tony Roe,@tonysroe,2022-03-17T21:16:11.000Z,"Tony Roe
@tonysroe
·
16mRef is standing six feet from that foul and does nothing.
3
2
19",3,2,19
roe,@wrkoe,2022-03-17T21:18:06.000Z,"roe
@wrkoe
·
14mاه مثالي
1
1",1,,1
roe,@wrkoe,2022-03-17T21:17:59.000Z,"roe
@wrkoe
·
14m1",,,1
roe,@space_dude3,2022-03-17T21:14:20.000Z,"roe
@space_dude3
·
18mThe outfit omg
𝕱
@spacesmiIer
 · 20m
She chose to serve we won
4",,,4
"la Roe,",@roedora__,2022-03-17T21:14:19.000Z,"la Roe,
@roedora__
·
18mCompro ltds cachorro unicornio y trono de flores salvajes
2
1
1",2,1,1
Jim Roe,@JimRoe_Toronto,2022-03-17T21:14:11.000Z,"Jim Roe
@JimRoe_Toronto
·
18mGreen beer is an abomination, today or any day. Fight me.
GIF
1",1,,
mija,@mija_roe,2022-03-17T21:14:11.000Z,"mija
@mija_roe
·
18mReplying to 
@Yvi_Mik
 and 
@MG18479364
Danke!!!
1",,,1
E. Wijaya Saputra,@kupu22b1roe,2022-03-17T21:14:00.000Z,"E. Wijaya Saputra
@kupu22b1roe
·
18mReplying to 
@CNNIndonesia
 and 
@UcokLubis05
Gila blm juga ketangkap neh org.... ajaib",,,
mary henchell,@verymarys27,2022-03-17T21:13:57.000Z,"mary henchell
@verymarys27
·
18mReplying to 
@CalltoActivism
 and 
@DirkMarais3
Oppose the Supreme Court overturning Roe v Wade",,,
Craig Ogawa,@craigaroo,2022-03-17T21:13:53.000Z,"Craig Ogawa
@craigaroo
·
18mReplying to 
@HelenaMontana14
 and 
@GregAFish
We have historical conditions AND necessity for a new Constitution. We have widespread agreement on what a new one would include
• incorporation of Roe v Wade
• restoration of Voting Rights Act
• expansion of Court
• abolition of Electoral College
1/
1",1,,
Nate Roe,@nathan_bacon_,2022-03-17T21:13:52.000Z,"Nate Roe
@nathan_bacon_
·
18mReplying to 
@GoatHouseNFL
Fucking had them going to the elite 8
2",,,2
mija,@mija_roe,2022-03-17T21:13:26.000Z,"mija
@mija_roe
·
18mReplying to 
@m29091899
 and 
@HendrikWuest
Würden sich meine Kinder nicht trauen",,,
roe,@wrkoe,2022-03-17T21:12:58.000Z,"roe
@wrkoe
·
19mباقي كم ساعه
2",,,2
roe,@prodbyroe34,2022-03-17T21:12:52.000Z,"roe
@prodbyroe34
·
19mYıldızlar kararırken",,,
Ted Roe,@Ted_Roe,2022-03-17T21:12:07.000Z,"Ted Roe
@Ted_Roe
·
20mReplying to 
@etufodisclosure
Only in the past 2 yrs have I dared to mention my own experiences, and not in much detail. I mentioned one in my talk at AIAA AV22 to make a point about observability and data.",,,
rø,@rowithaslash,2022-03-17T21:12:05.000Z,"rø
@rowithaslash
·
20mReplying to 
@Cuntillo
nothing short of full and unconditional respect for my besties is bar minimum 
1",,,1
Jane Roe,@emtlena,2022-03-17T21:11:47.000Z,"Jane Roe
@emtlena
·
20mنفس العقليه ونفس الردود ههههههههههههههههههههههههههههههه
|
@9hxzu
 · 7h
Replying to @Raid_F8
لاتتعب نفسك نفسيات حقين السوداوية اهبد لهم اي عمل امه وابوه يموتون و سوداوي و يعاني طول حياتي شرط انهم يعطون ١٠/١٠ حتى لو كان تافه والدليل ذا باتمان",,,
Farron Roe,@FarronRoe,2022-03-17T21:11:46.000Z,"Farron Roe
@FarronRoe
·
20mthe",,,
ET UFO DISCLOSURE,@etufodisclosure,2022-03-17T21:11:43.000Z,"ET UFO DISCLOSURE
@etufodisclosure
·
20mReplying to 
@Ted_Roe
So going forward now you still see yourself in a primarily aviation safety role? Hypothetically if ETVs are operating in the airspace who do you see as the primary lead on the subject matter - I find it hard to believe UFOology will be able to rise to any level of credibility",,,
Andrew Roe,@aroeSec,2022-03-17T21:11:12.000Z,"Andrew Roe
@aroeSec
·
21mVikings were the first clout mongers in history.",,,
roe,@space_dude3,2022-03-17T21:11:11.000Z,"roe
@space_dude3
·
21mshe’s the moment
Miley Nation
@MileyNation13
 · 24m
Fans following Miley Cyrus’ car in Argentina!
2",,,2
roe,@space_dude3,2022-03-17T21:10:36.000Z,"roe
@space_dude3
·
21momggjskkzxjs
Miley Nation
@MileyNation13
 · 25m
Miley Cyrus with fans in Argentina 
1",,,1
"Tall, loud, genderfluid?, angry",@DisasterFemRoe,2022-03-17T21:09:55.000Z,"Tall, loud, genderfluid?, angry
@DisasterFemRoe
·
22mReplying to 
@garleanvampire
 @Zillidan1
 and 
@WoL_Aurora
heh. So if that's what you want, wouldn't it be much more bullying to NOT give you that, then? :3
1
3",1,,3
roe «gobbingway»,@roefizzlebeef,2022-03-17T21:09:54.000Z,"roe «gobbingway»
@roefizzlebeef
·
22msometimes I take screenshots simply to make myself laugh.
roe «gobbingway»
@roefizzlebeef
 · 6h
roe fizzlebeef posting a terrible selfie where she's got her bucket hat on and is making this face  captioned ""told tataru I was goin to the bank...... didn't say which one !!!!!!""
Show this thread
1
5
44",1,5,44
roe,@wrkoe,2022-03-17T21:09:49.000Z,"roe
@wrkoe
·
22mReplying to 
@_eva58_re
ايفتي انتِ تجنني",,,
